model,rmse_log,mae_log,r2,train_sec
CAT,0.12749048600426804,0.08133257083001273,0.9128999629416258,10.283777713775635
XGB,0.12901772120703184,0.08578164609943584,0.9108006848293724,2.2327420711517334
Ridge,0.13326843783997708,0.09276554172794485,0.9048262020441824,0.11042594909667969
GBM,0.13349016077669387,0.09289062185632398,0.9045092512561985,1.1524953842163086
LGBM,0.13619010584774288,0.0877719717817324,0.9006074343689018,3.9967238903045654
RF,0.14573687560343568,0.09966806556072268,0.886184425305061,8.951489448547363
Tree,0.20709883035163842,0.1430181540969853,0.770163987355149,0.0907738208770752
Lasso,0.43324391618066077,0.33713389241665165,-0.0058372892548315125,0.06416440010070801
OLS,8654973.465423413,603362.9822319896,-401415620020922.06,0.1390221118927002
